                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6532,                 2.6605,                 1.3776,                0.97119,                0.04327,                 0.1946,                0.09284,                 1.6961,                 2.7845,                 1.2547,              0.0005475,              0.0005475,              0.0005475
                      2,                 1.5329,                 1.6687,                 1.2606,                0.49566,                0.33364,                0.37585,                0.18459,                 1.7354,                 1.8682,                 1.3601,             0.00099395,             0.00099395,             0.00099395
                      3,                 1.5492,                 1.4433,                 1.2477,                0.66636,                0.57831,                0.59846,                0.25862,                 1.8051,                 1.2681,                 1.3713,              0.0013304,              0.0013304,              0.0013304
                      4,                 1.5105,                   1.28,                 1.2473,                0.73781,                0.59154,                0.62488,                0.27722,                 1.7311,                 1.1339,                 1.3608,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.5093,                 1.1561,                 1.2389,                 0.8771,                0.59829,                0.71606,                0.32092,                 1.6238,                 1.0665,                 1.3035,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.4731,                  1.033,                 1.2078,                 0.8246,                0.64812,                 0.7208,                0.31102,                 1.6818,                0.91394,                 1.2947,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.4559,                0.94629,                 1.1851,                0.81634,                0.69645,                0.78127,                0.35328,                 1.6666,                0.84467,                 1.3004,              0.0006768,              0.0006768,              0.0006768
                      8,                 1.4134,                 0.8914,                 1.1745,                0.78894,                0.71569,                0.76313,                0.34182,                 1.6614,                0.84689,                 1.2913,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.3871,                0.83862,                 1.1597,                0.80973,                0.74034,                0.78189,                 0.3712,                 1.6488,                0.79156,                  1.292,             0.00034674,             0.00034674,             0.00034674
                     10,                 1.3775,                0.79365,                 1.1537,                0.84219,                0.71569,                0.77923,                0.37098,                 1.6256,                0.76642,                 1.2826,              0.0001817,              0.0001817,              0.0001817
